English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Multi-Class Logistic Regression,"The use of logistic regression for classification problems with multiple classes. Also called ""Multinomial Regression.""",انحدار لوجستي متعدد الأصناف,"استخدام الانحدار اللوجستي لمشكلات التصنيف ذات الأصناف المتعددة. ويُطلق عليه أيضًا ""انحدار متعدد الحدود"".",Régression logistique multi-classes,"Utilisation de la régression logistique pour des problèmes à plusieurs classes. Aussi appelée "" régression multinomiale "".",,
Multi-Head Self-Attention,A self-attention mechanism that operates multiple attentions in parallel to focus on different positions within input data sequences.,انتباه ذاتي متعدد الرؤوس,آلية انتباه ذاتي تُشغِّل انتباهات متعددة بالتوازي للتركيز على مواضع مختلفة من تسلسلات البيانات المُدْخَلة.,""" Multi-Head Self-Attention"" ou Mécanisme d’auto-attention multi-têtes ",Mécanisme d’auto-attention qui applique plusieurs attentions en parallèle afin de se focaliser sur différentes positions au sein des séquences de données en entrée.,,
Multi-layer Neural Network,A neural network that has more than one layer of artificial neurons or nodes.,شبكة عصبية متعددة الطبقات,شبكة عصبية تشتمل على أكثر من طبقة من الخلايا العصبية أو العُقَد الاصطناعية.,Réseau neuronal multicouche,Réseau neuronal comportant plusieurs couches de neurones artificiels.,,
Multi-model Database,"A database that is designed to support multiple data models (such as relationals, documents, and graphs) within a single integrated system.",قاعدة بيانات متعددة النماذج,قاعدة بيانات مصممة لدعم نماذج بيانات متعددة (مثل: الجداول، والمستندات، والشبكات) ضمن نظام متكامل واحد.,Base de données multi-modèle,"Base de données prenant en charge plusieurs modèles de données (relationnel, document, graphe, etc.) dans un seul système intégré.",,
Multi-structured Analytics,"The process of analyzing data that comes in various forms, including structured, semi-structured, and unstructured formats.",تحليلات متعددة الهياكل,عملية تحليل البيانات ذات الأشكال المختلفة، بما في ذلك الصيغ المهيكلة وشبه المهيكلة وغير المهيكلة.,Analyse multi-structurée,"Processus d’analyse de données sous diverses formes, notamment structurées, semi-structurées et non structurées.",,
Multi-Swarm Optimization,A variant of particle swarm optimization (PSO) that estimates the solution for complex problems using multiple swarms instead of a single swarm.,تحسين متعدد الأسراب,نوع من تحسين سرب الجسيمات يُقدّر الحل للمشكلات المعقدة باستخدام أسراب متعددة بدلًا من سرب واحد.,Optimisation multi-essaims,Variante de l’optimisation par essaims particulaires qui estime la solution de problèmes complexes en utilisant plusieurs essaims plutôt qu’un essaim unique.,,
Multi-Task Learning,A training technique where a model is trained on multiple tasks simultaneously to improve its performance.,تعلُّم متعدد المهام,أسلوب لتدريب النموذج على مهام متعددة في وقت واحد لتحسين أدائه.,Apprentissage multi-tâches,Technique d’entraînement où un modèle apprend simultanément plusieurs tâches pour améliorer ses performances globales.,,
Multimodal Model,A model that has inputs or outputs with multiple modalities.,نموذج متعدد الصيغ,نموذج له مُدْخَلات أو مخرجات بصيغ متعددة.,Modèle multimodal,"Modèle ayant des entrées ou sorties appartenant à plusieurs modalités (par ex. texte, image, son).",,
Multimodal Prompt,"A type of prompt that incorporates multiple types of data, such as text and images, to guide model responses.",أمر متعدد الصيغ,نوع من الأوامر يتضمن أنواعًا متعددة من البيانات، مثل النصوص والصور، لتوجيه استجابات النموذج.," ""Prompt""  ou instruction multimodale","Type de ""prompt"" ou instruction intégrant plusieurs types de données, comme le texte et l’image, pour orienter les réponses du modèle.",,
Multinomial Classification,"See ""Multi-Class Classification.""",تصنيف متعدد الحدود,"انظر ""تصنيف متعدد الأصناف"".",Classification multinomiale,"Voir "" Classification multi-classes "".",,
Multinomial Regression,"See ""Multi-Class Logistic Regression.""",انحدار متعدد الحدود,"انظر ""انحدار لوجستي متعدد الأصناف"".",Régression multinomiale,"Voir "" Régression logistique multi-classes "".",,
Multitask Prompt Tuning (MPT),A technique for adapting a model to multiple tasks by learning a single prompt that can be transferred to target tasks.,ضبط الأوامر المتعددة المهام,أسلوب لتكييف نموذج ما لمهام متعددة، عن طريق تعلُّم أمر واحد يمكن نقله إلى المهام المستهدفة.,"Ajustement de ""prompt""  ou instruction multi-tâches ",Technique permettant d’adapter un modèle à plusieurs tâches en apprenant un unique prompt transférable vers les tâches cibles.,,
N-Gram,A sequence of N items in a text.,ن-وحدة,تسلسل من عدد (ن) عنصر في نص.,N-gramme,"Séquence de N éléments (mots, caractères, etc.) dans un texte.",,
Naive Bayes Classifier,A probabilistic classifier based on Bayes' Theorem for analyzing and categorizing data.,مُصنِّف بايز البسيط,مُصنِّف احتمالي يعتمد على نظرية بايز لتحليل البيانات وتصنيفها.,Classificateur bayésien naïf,Classificateur probabiliste fondé sur le théorème de Bayes pour l’analyse et la catégorisation des données.,,
Naive Semantics,An approach to represent basic knowledge about a particular domain.,دلالات بسيطة,طريقة لتمثيل المعرفة الأساسية حول مجال معين.,Sémantique naïve,Approche de représentation des connaissances de base d’un domaine particulier.,,
