English Term,English Def.,Arabic Term,Arabic Def.
Non-Relational Model,A logical data model that stores and manipulates data without following a relational model.,نموذج غير علائقي,نموذج بيانات منطقي يخزن البيانات ويعالجها دون اتباع نموذج علائقي.
Non-Response Bias ,"A type of selection bias in which there are participation gaps in the collected data. Also called ""Participation Bias.""",تحيُّز عدم الاستجابة,"نوع من تحيُّز الاختيار توجد فيه فجوات مشارَكة في البيانات المجموعة. ويُطلق عليه أيضًا ""تحيُّز المشاركة""."
Non-Traditional Data,"Data that is digitally captured or observed using new technologies, often used for cases unrelated to its original collection.",بيانات غير تقليدية,البيانات التي تُجمَع أو تُلاحَظ رقميًّا باستخدام تقنيات جديدة، وغالبًا ما تُستخدم في حالات لا علاقة لها بالهدف الأصلي لجمعها.
Nonstationarity,"A property of time series where its statistical properties, such as mean and variance, change over time.",عدم ثبات,خاصية للسلاسل الزمنية التي تتغير بمرور الوقت خصائصها الإحصائية، مثل: المتوسط ​​والتباين.
Normal Distribution,"A continuous probability distribution defined by two parameters: the mean and the standard deviation. Also called ""Gaussian Distribution.""",توزيع طبيعي,"توزيع احتمالي مستمر يُعرَّف بمُعامِلين: المتوسط والانحراف المعياري. ويُطلق عليه أيضًا ""توزيع جاوسي""."
NoSQL,"A database design approach that allows for storing and querying data differently than relational databases. Also called ""Not Only SQL"", ""Non-SQL"" or ""Non-Relational.""",نو سيكوال,"طريقة لتصميم قواعد البيانات تُتيح تخزين البيانات والاستعلام عنها بطريقة مختلفة عن قواعد البيانات العلائقية. ويُطلق عليها أيضًا ""غير علائقية""."
Novelty Detection,The process of identifying new data that differs from the rest of the training data.,اكتشاف البيانات غير المعتادة,عملية تحديد البيانات الجديدة التي تختلف عن باقي بيانات التدريب.
Nucleus Sampling,"See ""Top-P Sampling.""",أخذ عيِّنات نيوكليوس,"انظر ""أخذ عيِّنات أعلى (ب)""."
Null Error Rate,A measure of how incorrect the classifier would be if it just predicted the majority class.,معدل الخطأ الفارغ,مقياس لمدى خطأ المُصنِّف إذا تنبأ بصنف الأغلبية فقط.
Numerical Data,The features that are represented as integers or real numbers.,بيانات عددية,الخصائص الممثَّلة بأعداد صحيحة أو أرقام حقيقية.
NumPy,An open-source library in Python designed for numerical and scientific computing.,نمباي,مكتبة مفتوحة المصدر بلغة البايثون مصممة لإجراء الحسابات العددية والعلمية.
Object,An entity (physical or conceptual) that may have one or more attributes.,شيء,كيان مادي أو مفاهيمي قد يكون له سمة واحدة أو أكثر.
Object Detection,A computer vision technique that locates and classifies objects in images or videos.,اكتشاف الأشياء,أسلوب في رؤية الحاسب لتحديد أماكن الأشياء وتصنيفها في الصور أو الفيديوهات.
Object Recognition,A computer vision technique that identifies and classifies objects in images or videos.,تَعرُّف على الأشياء,أسلوب في رؤية الحاسب لتحديد الأشياء وتصنيفها في الصور أو الفيديوهات.
Object Tracking,A computer vision technique that continuously locates and monitors the movement of objects within a sequence of video frames.,تتبُّع الأشياء,أسلوب في رؤية الحاسب لتحديد موقع الأشياء ومراقبتها باستمرار في تسلسل من إطارات الفيديو.
Objective,A metric that the algorithm is attempting to optimize.,هدف,قياس تحاول الخوارزمية تحسينه.
Objective Function,A function that a model is attempting to improve.,دالة الهدف,دالة يحاول النموذج تحسينها.
Occam's Razor,A principle for problem-solving that prefers simpler models over complex models.,نصل أوكام,مبدأ لحل المشكلات يفضّل النماذج الأبسط على النماذج المعقدة.
Offline Inference,"A process of generating predictions on a batch of observations. Also called ""Batch Inference.""",استنتاج غير مباشر,"عملية توليد التنبؤات على حُزمة من المشاهدات. ويُطلق عليها أيضًا ""استنتاج حُزَمي""."
One-Hot Encoding,A method of converting data into vectors in which all elements are set to 0 except one element is set to 1.,ترميز الواحد النشط,طريقة لتحويل البيانات إلى مُتَّجهات تُعيَّن فيها جميع العناصر إلى 0 باستثناء عنصر واحد يُعيَّن إلى 1.
